,Name,batter,bat_speed_90th,bat_speed_80th,bat_speed_std,swing_length_coefficient,swing_length_pvalue,contact_coefficient,contact_pvalue,contact_r2,estimated_woba_50th_percentile,estimated_woba_75th_percentile,estimated_woba_per_swing_top50,estimated_woba_per_swing_top25,swing_count,average_bat_speed,diff_between_wobacon_woba_50,diff_between_wobacon_woba_25
62,nelson velázquez,676369,77.85601130829448,76.51923352667981,6.953187127089919,9.564405067925962,8.240749517787332e-181,1.1194518473405284,5.3393894219731976e-86,0.9675996927059657,0.39383783783783777,0.2997894736842105,0.1502268041237113,0.11866666666666666,195.0,72.05042143440363,0.24361103371412646,0.18112280701754385
63,william contreras,661388,79.39906451127143,77.47770813914018,8.788372419085126,9.881472617278453,1.3904110139331136e-234,1.2072499948884428,1.32809960354969e-125,0.9656101416542331,0.4382575757575758,0.45365625,0.2259765625,0.226828125,256.0,72.04287456451786,0.21228101325757578,0.226828125
64,christian walker,572233,79.04169700830761,77.66283288408836,9.167561259378202,9.725355355816507,8.110434247301134e-250,1.1324755425223711,4.916681588172852e-142,0.9682451028606918,0.46373214285714287,0.5684482758620689,0.1909485294117647,0.2424264705882353,273.0,72.02670210261235,0.27278361344537816,0.3260218052738336
65,randal grichuk,545341,77.36018465793616,75.73581347684126,5.8904494721389185,9.395339344112418,1.4559275992073216e-103,1.1661094232388771,1.8843155401804307e-62,0.9722050224096805,0.27466666666666667,0.2307857142857143,0.14261538461538462,0.12426923076923077,105.0,71.96466079321057,0.13205128205128205,0.10651648351648352
66,elías díaz,553869,78.15454053493553,76.81165285616848,7.730352988100255,10.30930092350513,5.611179104629123e-228,1.1224194190620593,1.3054112399864644e-126,0.9711162421437837,0.34802127659574467,0.32203999999999994,0.14223478260869565,0.1412456140350877,231.0,71.87178778026538,0.205786493987049,0.18079438596491224
67,gabriel arias,672356,78.77125858518527,76.93690173502208,9.099282303549273,9.49089619659424,5.4419088081063346e-139,1.1377516779943484,1.8219846911851885e-73,0.971234120799792,0.3236285714285715,0.3661,0.14710389610389613,0.19268421052631576,155.0,71.84553369243866,0.17652467532467536,0.17341578947368422
68,ramón laureano,657656,78.60380406686315,77.2678858433763,7.969452057547989,9.706858613124059,1.1977195854183674e-105,1.1279572991436868,1.6168580469650501e-52,0.9726346826871822,0.2515909090909091,0.15025000000000002,0.09543103448275862,0.062172413793103454,117.0,71.78373682764206,0.15615987460815045,0.08807758620689657
69,fernando tatís,665487,79.02976693448349,77.67950683364565,10.350071576136337,9.905211099102447,8.136992362989054e-250,1.1400566943116102,9.92654392543069e-142,0.9742066910013677,0.45288405797101455,0.5174375,0.23854198473282445,0.2547384615384615,263.0,71.68633083171228,0.2143420732381901,0.26269903846153847
70,michael conforto,624424,78.26885693469227,76.49352557592243,6.34501776465831,9.942025807379547,8.119135796617952e-226,1.1519022006543493,3.2779148037012775e-114,0.9597208900852905,0.3522592592592592,0.4603928571428571,0.1698392857142857,0.23019642857142855,224.0,71.6577546009879,0.18241997354497352,0.23019642857142855
71,jeremy peña,665161,76.46072425930817,75.13707168072474,6.24440161995254,9.324946479966346,1.6207828990481904e-246,1.1572749834061424,3.5352729150145927e-128,0.9692358188861482,0.4307321428571429,0.54,0.19934710743801654,0.234,243.0,71.63482651527858,0.23138503541912636,0.30600000000000005
